Название,URL,Свежихновостей,Всегоновостей,Процентсвежих
General,https://www.lne.es/rss/,20,20,100.0%
Opinión,https://www.lne.es/rss/section/3000/,16,16,100.0%
Langreo,https://www.lne.es/rss/geo/10036/,11,11,100.0%
Mieres,https://www.lne.es/rss/geo/10039/,11,11,100.0%
Llanes,https://www.lne.es/rss/geo/10077/,11,11,100.0%
Valdés,https://www.lne.es/rss/geo/10067/,11,11,100.0%
Municipios,https://www.lne.es/rss/geo/10000/,11,11,100.0%
Asturias,https://www.lne.es/rss/section/3024/,10,10,100.0%
Oviedo,https://www.lne.es/rss/section/3013/,10,10,100.0%
Gijón,https://www.lne.es/rss/section/3017/,10,10,100.0%
RealOviedo,https://www.lne.es/rss/section/3040/,10,10,100.0%
SportingdeGijón,https://www.lne.es/rss/section/3041/,10,10,100.0%
Avilésycomarca,https://www.lne.es/rss/section/3018/,10,10,100.0%
Cuencas,https://www.lne.es/rss/section/3020/,10,10,100.0%
Oriente,https://www.lne.es/rss/section/3022/,10,10,100.0%
Occidente,https://www.lne.es/rss/section/3023/,10,10,100.0%
Economía,https://www.lne.es/rss/section/3027/,10,10,100.0%
Deportes,https://www.lne.es/rss/section/3028/,10,10,100.0%
DeporteAstur,https://www.lne.es/rss/section/1250775/,10,10,100.0%
Sociedad,https://www.lne.es/rss/section/3054/,10,10,100.0%
TVyEspectáculos,https://www.lne.es/rss/section/3088/,10,10,100.0%
España,https://www.lne.es/rss/section/3025/,10,10,100.0%
Internacional,https://www.lne.es/rss/section/3026/,10,10,100.0%
VidayEstilo,https://www.lne.es/rss/section/2000/,10,10,100.0%
Salud,https://www.lne.es/rss/section/3009/,10,10,100.0%
Videos,https://www.lne.es/rss/section/3093/,10,10,100.0%
Fotos,https://www.lne.es/rss/section/3143/,10,10,100.0%
Ocio,https://www.lne.es/rss/section/1000/,10,10,100.0%
RosalíaAgudín,https://www.lne.es/rss/author/2081814/,9,9,100.0%
RamónDíaz,https://www.lne.es/rss/author/3586/,9,9,100.0%
DemelsaÁlvarez,https://www.lne.es/rss/author/1290455/,9,9,100.0%
LujánPalacios,https://www.lne.es/rss/author/3553/,9,9,100.0%
BenitoDomínguez,https://www.lne.es/rss/author/1784785/,9,9,100.0%
J.M.Carbajal,https://www.lne.es/rss/author/1707072/,9,9,100.0%
X.A.Taboada,https://www.lne.es/rss/author/2113894/,1,1,100.0%
CangasdeOnís,https://www.lne.es/rss/geo/10074/,10,11,90.9%
DavidMontañés,https://www.lne.es/rss/author/3552/,8,9,88.9%
Castrillón,https://www.lne.es/rss/geo/10009/,9,11,81.8%
GijónOeste,https://www.lne.es/rss/section/2062854/,8,10,80.0%
AndrésMenéndez,https://www.lne.es/rss/author/1650305/,7,9,77.8%
AsturiasExterior,https://www.lne.es/rss/section/1992094/,7,10,70.0%
Siero,https://www.lne.es/rss/section/1566098/,7,10,70.0%
GuíasdeSalud,https://www.lne.es/rss/section/1693758/,7,10,70.0%
YagoGonzález,https://www.lne.es/rss/author/1774137/,6,9,66.7%
NoéMenéndez,https://www.lne.es/rss/author/1807288/,6,9,66.7%
AntonioLorca,https://www.lne.es/rss/author/3538/,6,9,66.7%
AliciaGarcía-Ovies,https://www.lne.es/rss/author/1778894/,6,9,66.7%
ClubLANUEVAESPAÑA,https://www.lne.es/rss/section/2013931/,6,10,60.0%
Llanera,https://www.lne.es/rss/section/1687404/,6,10,60.0%
Villaviciosa,https://www.lne.es/rss/section/1759213/,6,10,60.0%
MedioAmbiente,https://www.lne.es/rss/section/1260393/,6,10,60.0%
NicoMartínez,https://www.lne.es/rss/author/1947877/,5,9,55.6%
SergioGarcía,https://www.lne.es/rss/author/1848005/,5,9,55.6%
JoanLluísFerrer,https://www.lne.es/rss/author/1685449/,5,9,55.6%
Aller,https://www.lne.es/rss/geo/10034/,6,11,54.5%
CangasdelNarcea,https://www.lne.es/rss/section/2096409/,5,10,50.0%
Cultura,https://www.lne.es/rss/section/3035/,5,10,50.0%
Laviana,https://www.lne.es/rss/geo/10037/,5,11,45.5%
NachoAzparren,https://www.lne.es/rss/author/3537/,4,9,44.4%
JoaquínAlonso,https://www.lne.es/rss/author/1722362/,4,9,44.4%
FélixVallina,https://www.lne.es/rss/author/3528/,4,9,44.4%
ChristianGarcía,https://www.lne.es/rss/author/1930968/,4,9,44.4%
SaúlFernández,https://www.lne.es/rss/author/3516/,4,9,44.4%
Salas,https://www.lne.es/rss/section/1937740/,4,10,40.0%
Sucesos,https://www.lne.es/rss/section/3029/,4,10,40.0%
Agenda,https://www.lne.es/rss/section/2014085/,4,10,40.0%
N'asturianu,https://www.lne.es/rss/section/1279938/,4,10,40.0%
Tendencias21,https://www.lne.es/rss/section/3287/,4,10,40.0%
Gozón,https://www.lne.es/rss/geo/10011/,4,11,36.4%
Lena,https://www.lne.es/rss/geo/10038/,4,11,36.4%
Navia,https://www.lne.es/rss/geo/10057/,4,11,36.4%
ElenaFernández-Pello,https://www.lne.es/rss/author/3523/,3,9,33.3%
MyriamMancisidor,https://www.lne.es/rss/author/3513/,3,9,33.3%
PabloCastaño,https://www.lne.es/rss/author/3504/,3,9,33.3%
LluisNelEstrada,https://www.lne.es/rss/author/2089080/,1,3,33.3%
Asturias,https://www.lne.es/rss/section/3116/,3,10,30.0%
Llanera,https://www.lne.es/rss/section/1687414/,3,10,30.0%
SanMartíndelReyAurelio,https://www.lne.es/rss/geo/10042/,3,11,27.3%
ribadesella,https://www.lne.es/rss/geo/10085/,3,11,27.3%
Parres,https://www.lne.es/rss/geo/10079/,3,11,27.3%
OviedoOpinión,https://www.lne.es/rss/section/3267/,4,16,25.0%
PedrodeSilva,https://www.lne.es/rss/author/3595/,2,9,22.2%
MarcosPalicio,https://www.lne.es/rss/author/3550/,2,9,22.2%
MaríaJoséIglesias,https://www.lne.es/rss/author/3584/,2,9,22.2%
MariánMartínez,https://www.lne.es/rss/author/3531/,2,9,22.2%
SandraF.Lombardía,https://www.lne.es/rss/author/3593/,2,9,22.2%
EDUARDOMARTÍNEZDELAFE/T21,https://www.lne.es/rss/author/2095811/,2,9,22.2%
T.Cascudo,https://www.lne.es/rss/author/1307422/,2,9,22.2%
MariolaRiera,https://www.lne.es/rss/author/3567/,2,9,22.2%
TinoPertierra,https://www.lne.es/rss/author/3539/,2,9,22.2%
Grado,https://www.lne.es/rss/section/1928049/,2,10,20.0%
Asturiasrural,https://www.lne.es/rss/section/1516566/,2,10,20.0%
Gente,https://www.lne.es/rss/section/3030/,2,10,20.0%
Humor,https://www.lne.es/rss/section/3032/,2,10,20.0%
AsturiasExterior,https://www.lne.es/rss/section/2047341/,2,10,20.0%
Asturias,https://www.lne.es/rss/section/3165/,2,10,20.0%
Piloña,https://www.lne.es/rss/geo/10082/,2,11,18.2%
Tineo,https://www.lne.es/rss/geo/10066/,2,11,18.2%
General,https://www.lne.es/rss/microsite/1800/,3,20,15.0%
SaraMoro,https://www.lne.es/rss/author/2041707/,1,7,14.3%
DeportesOpinión,https://www.lne.es/rss/section/3277/,2,16,12.5%
FranciscoGarcía,https://www.lne.es/rss/author/3575/,1,9,11.1%
SaraBernardo,https://www.lne.es/rss/author/2025525/,1,9,11.1%
VicenteMontes,https://www.lne.es/rss/author/3529/,1,9,11.1%
EduardoLagar,https://www.lne.es/rss/author/3536/,1,9,11.1%
AlbertoMenéndez,https://www.lne.es/rss/author/3568/,1,9,11.1%
ÁlvaroFaes,https://www.lne.es/rss/author/3518/,1,9,11.1%
PabloPalomo,https://www.lne.es/rss/author/3588/,1,9,11.1%
AndrésVelasco,https://www.lne.es/rss/author/3544/,1,9,11.1%
PabloGonzález,https://www.lne.es/rss/author/3525/,1,9,11.1%
ErnestoEkaizer,https://www.lne.es/rss/author/1669097/,1,9,11.1%
Editorial,https://www.lne.es/rss/author/1206766/,1,9,11.1%
JavierMorán,https://www.lne.es/rss/author/3578/,1,9,11.1%
JesúsSanzMontes,https://www.lne.es/rss/author/1226550/,1,9,11.1%
ÓscarR.Buznego,https://www.lne.es/rss/author/3599/,1,9,11.1%
JorgeDezcallar,https://www.lne.es/rss/author/1345957/,1,9,11.1%
LuisRivaya,https://www.lne.es/rss/author/1762878/,1,9,11.1%
TinaVillar,https://www.lne.es/rss/author/1873445/,1,9,11.1%
MartaOrtiz,https://www.lne.es/rss/author/2107857/,1,9,11.1%
JoséAntonioNovalCueto,https://www.lne.es/rss/author/1225116/,1,9,11.1%
PilarTuero,https://www.lne.es/rss/author/1777858/,1,9,11.1%
PabloÁlvarez,https://www.lne.es/rss/author/3522/,1,9,11.1%
FranciscoL.Jiménez,https://www.lne.es/rss/author/3507/,1,9,11.1%
JonathanMalladaÁlvarez,https://www.lne.es/rss/author/1322180/,1,9,11.1%
LaCorredoria,https://www.lne.es/rss/section/1990044/,1,10,10.0%
Consumo,https://www.lne.es/rss/section/1644167/,1,10,10.0%
Siero,https://www.lne.es/rss/section/1566105/,1,10,10.0%
Siero,https://www.lne.es/rss/section/1566106/,1,10,10.0%
Llanera,https://www.lne.es/rss/section/1687415/,1,10,10.0%
SotodelBarco,https://www.lne.es/rss/geo/10013/,1,11,9.1%
GijónOpinión,https://www.lne.es/rss/section/3268/,1,16,6.2%
AvilésOpinión,https://www.lne.es/rss/section/3271/,1,16,6.2%
LasCuencasOpinión,https://www.lne.es/rss/section/3269/,1,16,6.2%
